Record_Number,LSN,Type,Type_ID,Length,Space_ID,Page_No,Table_ID,Group,Data_Preview,Data_Length
647,28224,MLOG_2BYTES,2,7,0,0,0,16,offset=513 value=0x1d010000,27
648,28293,UNKNOWN_MLOG_5,5,69,0,0,0,16,offset=24 badlen=0 hex=070310bd000094fbee811d001c5c0080cb09000000000503c2000001151afc080000000000000...,151
649,28300,MLOG_4BYTES,4,7,0,0,0,16,offset=384 value=0x102ff7f,26
650,28307,MLOG_2BYTES,2,7,0,0,0,16,offset=0 value=0x38051d01,25
651,28565,UNKNOWN_MLOG_7,7,255,0,0,0,16,offset=4099 len=250 hex=0094fbee811d001c5c0080cc09000000000503c2000001151b1d0800000000000000e500c6fb...,524
652,28634,MLOG_LSN,28,69,0,0,0,16,offset=92 badlen=53120 hex=09000000000503c2000001151b800800000000000000e800c6fbfe7f01010009000180088...,155
653,28656,UNKNOWN_MLOG_7,7,22,0,0,0,16,offset=4355 badlen=236 hex=0094fbee811d001c5c0080d00900000000,61
654,28702,MLOG_1BYTE,1,7,0,0,0,16,offset=1 value=0x80010009,25
655,28709,MLOG_8BYTES,8,7,0,0,0,16,offset=1664 value=0x800780,26
656,28717,MLOG_8BYTES,8,7,0,0,0,16,offset=384 value=0x1800480,26
657,28726,MLOG_2BYTES,2,7,0,0,0,16,offset=513 value=0x1d010000,27
658,28795,UNKNOWN_MLOG_5,5,69,0,0,0,16,offset=216 badlen=0 hex=07031228000094fbee811d001c5c0080d109000000000503c2000001151bc208000000000000...,152
659,28802,MLOG_4BYTES,4,7,0,0,0,16,offset=384 value=0x102ff7f,26
660,28809,MLOG_2BYTES,2,7,0,0,0,16,offset=0 value=0xf8051d01,25
661,28917,UNKNOWN_MLOG_7,7,105,0,0,0,16,offset=4611 len=100 hex=0094fbee811d001c5c0080d209000000000503c2000001151be30800000000000000eb00c6fb...,224
662,28927,MLOG_1BYTE,1,7,0,0,0,16,offset=7189 value=0x804,23
663,28945,MLOG_1BYTE,1,7,0,0,0,16,offset=1 value=0x80010009,25
664,28952,MLOG_8BYTES,8,7,0,0,0,16,offset=1664 value=0x800780,26
665,28960,MLOG_8BYTES,8,7,0,0,0,16,offset=384 value=0x1800480,26
666,28969,MLOG_2BYTES,2,7,0,0,0,16,offset=513 value=0x1d010000,27
667,29038,UNKNOWN_MLOG_6,6,69,0,0,0,16,offset=56 badlen=0 hex=070312d9000094fbee811d001c5c0080d409000000000503c2000001151c25080000000000000...,151
668,29045,MLOG_4BYTES,4,7,0,0,0,16,offset=384 value=0x102ff7f,26
669,29052,MLOG_2BYTES,2,7,0,0,0,16,offset=0 value=0x58061d01,25
670,29084,UNKNOWN_MLOG_7,7,29,0,0,0,16,offset=4867 len=24 hex=0094fbee811d001c5c0080d509000000000503c200000115,71
671,29153,MLOG_LSN,28,69,0,0,0,16,offset=2118 badlen=0 hex=0000000000ee00c6fbfe7f010100090001800880068007800080088001800480017fff02010...,153
672,29163,MLOG_REC_INSERT_8027,9,294,0,0,0,16,"space_id=0 | page_no=0 | index_info=(n_fields=0,n_uniq=773) | record_data=(cursor_offset=194,end_seg...",294
673,29164,MLOG_1BYTE,1,1,0,0,0,16,,0
674,29165,MLOG_UNDO_ERASE_END,21,1,0,0,0,16,,1
675,29166,MLOG_LSN,28,1,0,0,0,16,,1
676,29204,MLOG_1BYTE,1,7,0,0,0,16,offset=1 value=0x80010009,25
677,29211,MLOG_8BYTES,8,7,0,0,0,16,offset=1664 value=0x800780,26
678,29219,MLOG_8BYTES,8,7,0,0,0,16,offset=384 value=0x1800480,26
679,29228,MLOG_2BYTES,2,7,0,0,0,16,offset=513 value=0x1d010000,27
680,29297,UNKNOWN_MLOG_6,6,69,0,0,0,16,offset=152 badlen=0 hex=07031390000094fbee811d001c5c0080d709000000000503c2000001151c8808000000000000...,152
681,29304,MLOG_4BYTES,4,7,0,0,0,16,offset=384 value=0x102ff7f,26
682,29311,MLOG_2BYTES,2,7,0,0,0,16,offset=0 value=0xb8061d01,25
683,29521,UNKNOWN_MLOG_7,7,207,0,0,0,16,offset=4867 len=202 hex=0094fbee811d001c5c0080d809000000000503c2000001151ca90800000000000000f100c6fb...,428
684,29528,MLOG_1BYTE,1,7,0,0,0,16,offset=1 value=0x80010009,25
685,29535,MLOG_8BYTES,8,7,0,0,0,16,offset=1664 value=0x800780,26
686,29543,MLOG_8BYTES,8,7,0,0,0,16,offset=384 value=0x1800480,26
687,29552,MLOG_2BYTES,2,7,0,0,0,16,offset=513 value=0x1d010000,27
688,29621,UNKNOWN_MLOG_7,7,69,0,0,0,16,offset=24 badlen=0 hex=07031482000094fbee811d001c5c0080db09000000000503c2000001151d0c080000000000000...,151
689,29628,MLOG_4BYTES,4,7,0,0,0,16,offset=384 value=0x102ff7f,26
690,29635,MLOG_2BYTES,2,7,0,0,0,16,offset=0 value=0x38071d01,25
691,29680,UNKNOWN_MLOG_7,7,42,0,0,0,16,offset=5123 badlen=190 hex=0094fbee811d001c5c0080dc09000000000503c2000001151d2d0800000000000000f500c...,101
692,29842,MLOG_INIT_FILE_PAGE,29,97,0,0,0,16,offset=7168 len=92 hex=80dd09000000000503c2000001151d4e0800000000000000f600c6fbfe7f01010009000180088...,207
693,29850,MLOG_1BYTE,1,7,0,0,0,16,offset=7445 value=0x86f,23
694,29868,MLOG_1BYTE,1,7,0,0,0,16,offset=1 value=0x80010009,25
695,29875,MLOG_8BYTES,8,7,0,0,0,16,offset=1664 value=0x800780,26
696,29883,MLOG_8BYTES,8,7,0,0,0,16,offset=384 value=0x1800480,26
697,29892,MLOG_2BYTES,2,7,0,0,0,16,offset=513 value=0x1d010000,27
698,29961,UNKNOWN_MLOG_7,7,69,0,0,0,16,offset=152 badlen=0 hex=07031577000094fbee811d001c5c0080df09000000000503c2000001151d9008000000000000...,152
699,29968,MLOG_4BYTES,4,7,0,0,0,16,offset=384 value=0x102ff7f,26
700,29975,MLOG_2BYTES,2,7,0,0,0,16,offset=0 value=0xb8071d01,25
